id,user_id,mobile
1559923,1559923,18252600805
1559922,1559922,18653011636
1559921,1559921,15529855992
1559920,1559920,15759119407
1559919,1559919,18274492908
1559918,1559918,18967502353
1559917,1559917,13845104534
1559912,1559912,18475546804
1559910,1559910,15172642474
1559909,1559909,15375321626
1559903,1559903,18245065763
1559902,1559902,18153854690
1559901,1559901,18863220632
1559900,1559900,18138166505
1559899,1559899,18436685051
1559898,1559898,18143046631
1559895,1559895,18532875915
1559894,1559894,18652219113
1559892,1559892,19373780636
1559891,1559891,13421846343
1559890,1559890,13580568136
1559888,1559888,15809880388
1559887,1559887,18945636948
1559883,1559883,17399159774
1559879,1559879,18315210898
1559878,1559878,18396691988
1559877,1559877,19550903653
1559873,1559873,13280948917
1559872,1559872,18712646664
1559871,1559871,18930512858
1559870,1559870,19864655778
1559868,1559868,15297871715
1559867,1559867,13421515356
1559866,1559866,13504124964
1559865,1559865,17533630967
1559864,1559864,15036399613
1559863,1559863,13255260496
1559862,1559862,18745680917
1559859,1559859,15026565560
1559858,1559858,19574586261
1559856,1559856,17325563528
1559855,1559855,19200407110
1559854,1559854,18178751616
1559853,1559853,17727414505
1559849,1559849,15020823879
1559848,1559848,17864098250
1559846,1559846,13729708594
1559845,1559845,13236686962
1559844,1559844,15775454352
1559842,1559842,15038363690
1559841,1559841,15528108996
1559840,1559840,18738677903
1559839,1559839,15627206632
1559836,1559836,15796758082
1559833,1559833,17264355993
1559832,1559832,15929893972
1559829,1559829,13626659719
1559828,1559828,13478939856
1559827,1559827,15033093938
1559826,1559826,18053069281
1559825,1559825,18306697727
1559823,1559823,15139931933
1559822,1559822,13794093608
1559820,1559820,17505916685
1559819,1559819,15236494713
1559818,1559818,18972029981
1559817,1559817,18854313729
1559816,1559816,13085171263
1559815,1559815,15990224373
1559813,1559813,18655216989
1559811,1559811,18510279967
1559810,1559810,18842964992
1559809,1559809,18711061418
1559806,1559806,18727291398
1559805,1559805,13550528151
1559803,1559803,18938436896
1559802,1559802,17856351367
1559801,1559801,15569556613
1559800,1559800,13706159127
1559799,1559799,18007570663
1559798,1559798,13051785785
1559797,1559797,18349306211
1559795,1559795,17321165085
1559794,1559794,13752748648
1559789,1559789,15798008302
1559788,1559788,15533356563
1559786,1559786,15808483718
1559783,1559783,13859842923
1559782,1559782,18137333065
1559780,1559780,19909462184
1559779,1559779,13611710793
1559777,1559777,18398077749
1559776,1559776,15270495835
1559775,1559775,18725090353
1559772,1559772,13335982528
1559768,1559768,15700887502
1559767,1559767,13338307155
1559765,1559765,13113032681
1559764,1559764,17790484846
1559762,1559762,13844372125
1559760,1559760,15811287983
1559759,1559759,17170682222
1559756,1559756,18058311343
1559753,1559753,18354424155
1559752,1559752,15240095011
1559751,1559751,13854356070
1559745,1559745,15886862121
1559744,1559744,16261840799
1559743,1559743,13593330726
